A	20972
a	67293
B	10014
b	36822
C	9507
c	25004
D	5575
d	25667
E	3897
e	11409
F	7291
f	30588
G	5240
g	15926
H	10120
h	54674
I	29710
i	34532
J	1694
j	1715
K	2899
k	6920
L	7354
l	24120
M	9443
m	48244
N	4637
n	22981
O	7930
o	35823
P	7262
p	20768
Q	832
q	1669
R	3482
r	11218
S	12102
s	56649
T	21529
t	108115
U	1035
u	7995
V	2219
v	4382
W	13280
w	48165
X	90
Y	3467
y	22686
Z	9
z	53
